rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,0,OLD,20233219,호프,2026-07-15,1658248600,68.4,483528400,41.2,30780993660,153910,38913,33.8,2802235,2256,8064,2026-07-24,2026-08-07 17:09:51
2,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,196090780,8.1,38038640,24.1,4776939340,19957,3244,19.4,465005,794,1848,2026-07-24,2026-08-07 17:09:51
3,0,OLD,20259946,모아나,2026-07-08,160572600,6.6,30430630,23.4,9048934420,16041,2780,21.0,838276,743,1414,2026-07-24,2026-08-07 17:09:51
4,0,OLD,20242402,눈동자,2026-06-24,102241700,4.2,5803130,6.0,15302420120,9531,114,1.2,1484006,603,1035,2026-07-24,2026-08-07 17:09:51
5,0,OLD,20259781,토이 스토리 5,2026-06-17,97058920,4.0,18402870,23.4,28767111230,9456,1413,17.6,2792600,526,791,2026-07-24,2026-08-07 17:09:51
6,0,OLD,20262902,다윗,2026-07-10,50414700,2.1,8597200,20.6,1763738170,5347,845,18.8,179205,318,393,2026-07-24,2026-08-07 17:09:51
7,8,OLD,20264665,드림 애니멀즈: 더무비,2026-07-24,27319050,1.1,24338050,816.4,109862850,3368,2989,788.7,12472,305,389,2026-07-24,2026-08-07 17:09:51
8,-1,OLD,20264753,호컴,2026-07-22,14102200,0.6,753900,5.6,54961700,1540,32,2.1,6190,123,179,2026-07-24,2026-08-07 17:09:51
9,-1,OLD,20252402,군체,2026-05-21,13232820,0.5,65620,0.5,62663732870,1199,-82,-6.4,5947386,131,156,2026-07-24,2026-08-07 17:09:51
10,10,OLD,20248252,와일드 씽,2026-06-03,8107200,0.3,5547250,216.7,12981383590,1112,792,247.5,1344043,41,44,2026-07-24,2026-08-07 17:09:51
1,0,OLD,20233219,호프,2026-07-15,3478832330,67.7,1820583730,109.8,34259825990,327565,173655,112.8,3129800,2258,8412,2026-07-25,2026-08-07 17:09:51
2,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,491546840,9.6,295456060,150.7,5268486180,49512,29555,148.1,514517,1004,2391,2026-07-25,2026-08-07 17:09:51
3,0,OLD,20259946,모아나,2026-07-08,364078680,7.1,203506080,126.7,9413013100,36157,20116,125.4,874433,843,1653,2026-07-25,2026-08-07 17:09:51
4,1,OLD,20259781,토이 스토리 5,2026-06-17,227164930,4.4,130106010,134.0,28994276160,22032,12576,133.0,2814632,640,1013,2026-07-25,2026-08-07 17:09:51
5,1,OLD,20262902,다윗,2026-07-10,193831670,3.8,143416970,284.5,1957569840,20331,14984,280.2,199536,460,581,2026-07-25,2026-08-07 17:09:51
6,-2,OLD,20242402,눈동자,2026-06-24,154391050,3.0,52149350,51.0,15456811170,14534,5003,52.5,1498540,563,906,2026-07-25,2026-08-07 17:09:51
7,0,OLD,20264665,드림 애니멀즈: 더무비,2026-07-24,51606640,1.0,24287590,88.9,161469490,5690,2322,68.9,18162,378,518,2026-07-25,2026-08-07 17:09:51
8,3,OLD,20263530,마티 슈프림,2026-07-01,20402700,0.4,10282600,101.6,1332438530,1579,633,66.9,123430,58,66,2026-07-25,2026-08-07 17:09:51
9,0,NEW,20262381,사랑의 하츄핑: 고래보석의 전설,2026-08-05,17138000,0.3,17138000,100.0,29963000,1558,1558,100.0,2983,6,6,2026-07-25,2026-08-07 17:09:51
10,-1,OLD,20252402,군체,2026-05-21,15958770,0.3,2725950,20.6,62679691640,1447,248,20.7,5948833,112,127,2026-07-25,2026-08-07 17:09:51
1,0,OLD,20233219,호프,2026-07-15,3001077110,65.0,-477755220,-13.7,37260903100,285870,-41695,-12.7,3415670,2245,8010,2026-07-26,2026-08-09 10:17:41
2,0,OLD,20261784,미니언즈 & 몬스터즈,2026-07-15,477803500,10.3,-13743340,-2.8,5746289680,48445,-1067,-2.2,562962,981,2307,2026-07-26,2026-08-09 10:17:41
3,0,OLD,20259946,모아나,2026-07-08,346767280,7.5,-17311400,-4.8,9759780380,34802,-1355,-3.7,909235,860,1607,2026-07-26,2026-08-09 10:17:41
4,0,OLD,20259781,토이 스토리 5,2026-06-17,229075600,5.0,1910670,0.8,29223351760,22487,455,2.1,2837119,622,987,2026-07-26,2026-08-09 10:17:41
5,0,OLD,20262902,다윗,2026-07-10,200143340,4.3,6311670,3.3,2157713180,20815,484,2.4,220351,441,542,2026-07-26,2026-08-09 10:17:41
6,0,OLD,20242402,눈동자,2026-06-24,138652370,3.0,-15738680,-10.2,15595463540,13074,-1460,-10.0,1511614,521,823,2026-07-26,2026-08-09 10:17:41
7,0,OLD,20264665,드림 애니멀즈: 더무비,2026-07-24,57326820,1.2,5720180,11.1,218796310,6242,552,9.7,24404,378,509,2026-07-26,2026-08-09 10:17:41
8,0,OLD,20263530,마티 슈프림,2026-07-01,24763550,0.5,4360850,21.4,1357202080,1877,298,18.9,125307,67,76,2026-07-26,2026-08-09 10:17:41
9,1,OLD,20252402,군체,2026-05-21,11759500,0.3,-4199270,-26.3,62691451140,1131,-316,-21.8,5949964,104,119,2026-07-26,2026-08-09 10:17:41
