title,score,id,genre,grade,time,director,expert_score,nation,movieCd
눈동자,5.0,63186.0,스릴러,15세이상관람가,105분,염지호,5.0,한국,20242402
다윗,5.0,63108.0,애니메이션,전체관람가,109분,필커닝햄,5.0,미국,20262902
명탐정 코난: 하이웨이의 타천사,,,,,,,,,20264635
모아나,5.67,62818.0,"어드벤처,액션",전체관람가,115분,토마스케일,5.67,미국,20259946
미니언즈 & 몬스터즈,6.5,63032.0,애니메이션,전체관람가,89분,피에르코팽,6.5,미국,20261784
사랑의 하츄핑: 고래보석의 전설,7.0,63075.0,애니메이션,전체관람가,105분,김수훈,7.0,한국,20262381
스파이더맨: 브랜드 뉴 데이,7.33,63091.0,"판타지,어드벤처,액션",12세이상관람가,144분,데스틴크리튼,7.33,미국,20262770
어떻게 해야 했을까?,6.5,63282.0,다큐멘터리,12세이상관람가,101분,후지노토모아키,6.5,일본,20264148
오디세이,7.55,62585.0,"액션,모험,드라마",15세이상관람가,172분,크리스토퍼놀란,7.55,미국,20250654
오케이 마담2,5.0,63240.0,코미디,15세이상관람가,108분,이철하,5.0,한국,20255484
토이 스토리 5,6.83,62799.0,애니메이션,전체관람가,101분,앤드류스탠튼,6.83,미국,20259781
호프,6.83,62480.0,"액션,스릴러,SF",15세이상관람가,156분,나홍진,6.83,한국,20233219
