rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,b_date,c_date
1,1,OLD,20253289,극장판 귀멸의 칼날: 무한성편,2025-08-22,620638010,28.1,255465630,70,45357170740,54177,20353,60.2,4189708,1125,3407,2025-09-12,2026-08-15 16:18:27
2,-1,OLD,20242964,얼굴,2025-09-11,558082080,25.3,214350330,62.4,904793830,53287,18269,52.2,88603,917,3329,2025-09-12,2026-08-15 16:18:27
3,1,OLD,20254501,F1 더 무비,2025-06-25,134721260,6.1,47448820,54.4,53220020180,18067,6462,55.7,4979009,616,1056,2025-09-12,2026-08-15 16:18:27
4,1,OLD,20256702,컨저링: 마지막 의식,2025-09-03,192378370,8.7,71279250,58.9,3225393100,17146,5870,52.1,309887,657,1277,2025-09-12,2026-08-15 16:18:27
5,-2,OLD,20233039,살인자 리포트,2025-09-05,176195500,8.0,41942210,31.2,2404446850,17090,3495,25.7,244304,777,1585,2025-09-12,2026-08-15 16:18:27
6,0,OLD,20247245,홈캠,2025-09-10,84454300,3.8,22788600,37,265581400,8972,1652,22.6,31001,275,774,2025-09-12,2026-08-15 16:18:27
7,0,OLD,20241941,좀비딸,2025-07-30,56009400,2.5,8450100,17.8,52410142290,8076,1157,16.7,5536343,528,788,2025-09-12,2026-08-15 16:18:27
8,0,OLD,20030047,모노노케 히메,2003-04-25,85807000,3.9,-2952500,-3.3,361432000,4483,-381,-7.8,20505,26,105,2025-09-12,2026-08-15 16:18:27
9,1,OLD,20257083,건국전쟁2 ,2025-09-10,26061100,1.2,2360550,10,89641050,2610,62,2.4,9312,336,509,2025-09-12,2026-08-15 16:18:27
10,1,OLD,20240206,전력질주,2025-09-10,16838900,0.8,5095000,43.4,70347400,2462,791,47.3,9175,139,360,2025-09-12,2026-08-15 16:18:27
