rank,title,score,daily_audience,total_audience,release_date,href,id,genre,grade,time,director,expert_score,nation,c_datetime
1,스파이더맨: 브랜드 뉴 데이,7.33,2988829, 4646132, 2026-07-29,/movie/info/?movie_id=63091,63091,"판타지,어드벤처,액션",12세이상관람가,144분,데스틴크리튼,7.33,미국,2026-08-07 14:32:30
2,오디세이,7.55,539180, 539804, 2026-08-05,/movie/info/?movie_id=62585,62585,"액션,모험,드라마",15세이상관람가,172분,크리스토퍼놀란,7.55,미국,2026-08-07 14:32:31
3,호프,6.83,436585, 4292726, 2026-07-15,/movie/info/?movie_id=62480,62480,"액션,스릴러,SF",15세이상관람가,156분,나홍진,6.83,한국,2026-08-07 14:32:32
4,사랑의 하츄핑: 고래보석의 전설,7.00,138674, 144186, 2026-08-05,/movie/info/?movie_id=63075,63075,애니메이션,전체관람가,105분,김수훈,7.00,한국,2026-08-07 14:32:34
5,미니언즈 & 몬스터즈,6.50,79932, 748798, 2026-07-15,/movie/info/?movie_id=63032,63032,애니메이션,전체관람가,89분,피에르코팽,6.50,미국,2026-08-07 14:32:35
6,모아나,5.67,43199, 1017212, 2026-07-08,/movie/info/?movie_id=62818,62818,"어드벤처,액션",전체관람가,115분,토마스케일,5.67,미국,2026-08-07 14:32:36
7,토이 스토리 5,6.83,42266, 2932601, 2026-06-17,/movie/info/?movie_id=62799,62799,애니메이션,전체관람가,101분,앤드류스탠튼,6.83,미국,2026-08-07 14:32:37
8,다윗,5.00,27880, 272513, 2026-07-10,/movie/info/?movie_id=63108,63108,애니메이션,전체관람가,109분,필커닝햄,5.00,미국,2026-08-07 14:32:38
9,어떻게 해야 했을까?,6.50,25333, 37683, 2026-07-29,/movie/info/?movie_id=63282,63282,다큐멘터리,12세이상관람가,101분,후지노토모아키,6.50,일본,2026-08-07 14:32:40
10,눈동자,5.00,8427, 1540882, 2026-06-24,/movie/info/?movie_id=63186,63186,스릴러,15세이상관람가,105분,염지호,5.00,한국,2026-08-07 14:32:41
