rank,title,score,daily_audience,total_audience,release_date,href,id,genre,grade,time,director,expert_score,nation,c_datetime,b_date
1,스파이더맨: 브랜드 뉴 데이,7.33,2374516, 4646132, 2026-07-29,/movie/info/?movie_id=63091,63091,"판타지,어드벤처,액션",12세이상관람가,144분,데스틴크리튼,7.33,미국,2026-08-08 09:37:16,2026-08-08
2,오디세이,7.55,849336, 539804, 2026-08-05,/movie/info/?movie_id=62585,62585,"액션,모험,드라마",15세이상관람가,172분,크리스토퍼놀란,7.55,미국,2026-08-08 09:37:17,2026-08-08
3,호프,6.83,330960, 4292726, 2026-07-15,/movie/info/?movie_id=62480,62480,"액션,스릴러,SF",15세이상관람가,156분,나홍진,6.83,한국,2026-08-08 09:37:18,2026-08-08
4,사랑의 하츄핑: 고래보석의 전설,7.00,169682, 144186, 2026-08-05,/movie/info/?movie_id=63075,63075,애니메이션,전체관람가,105분,김수훈,7.00,한국,2026-08-08 09:37:20,2026-08-08
5,미니언즈 & 몬스터즈,6.50,62281, 748798, 2026-07-15,/movie/info/?movie_id=63032,63032,애니메이션,전체관람가,89분,피에르코팽,6.50,미국,2026-08-08 09:37:21,2026-08-08
6,토이 스토리 5,6.83,34741, 2932601, 2026-06-17,/movie/info/?movie_id=62799,62799,애니메이션,전체관람가,101분,앤드류스탠튼,6.83,미국,2026-08-08 09:37:22,2026-08-08
7,모아나,5.67,32040, 1017212, 2026-07-08,/movie/info/?movie_id=62818,62818,"어드벤처,액션",전체관람가,115분,토마스케일,5.67,미국,2026-08-08 09:37:23,2026-08-08
8,어떻게 해야 했을까?,6.50,22614, 37683, 2026-07-29,/movie/info/?movie_id=63282,63282,다큐멘터리,12세이상관람가,101분,후지노토모아키,6.50,일본,2026-08-08 09:37:24,2026-08-08
9,다윗,5.00,21756, 272513, 2026-07-10,/movie/info/?movie_id=63108,63108,애니메이션,전체관람가,109분,필커닝햄,5.00,미국,2026-08-08 09:37:26,2026-08-08
10,눈동자,5.00,6038, 1540882, 2026-06-24,/movie/info/?movie_id=63186,63186,스릴러,15세이상관람가,105분,염지호,5.00,한국,2026-08-08 09:37:27,2026-08-08
