rank,title,score,daily_audience,total_audience,release_date,href,c_datetime,b_date,id,genre,grade,time,director,expert_score,nation
1,오디세이,7.55,1836776, 2130502, 2026-08-05,/movie/info/?movie_id=62585,2026-08-12 09:20:14,2026-08-12,62585,"액션,모험,드라마",15세이상관람가,172분,크리스토퍼놀란,7.55,미국
2,스파이더맨: 브랜드 뉴 데이,7.33,1676951, 6085168, 2026-07-29,/movie/info/?movie_id=63091,2026-08-12 09:20:14,2026-08-12,63091,"판타지,어드벤처,액션",12세이상관람가,144분,데스틴크리튼,7.33,미국
3,사랑의 하츄핑: 고래보석의 전설,7.00,352528, 452974, 2026-08-05,/movie/info/?movie_id=63075,2026-08-12 09:20:14,2026-08-12,63075,애니메이션,전체관람가,105분,김수훈,7.00,한국
4,호프,6.83,142502, 4408041, 2026-07-15,/movie/info/?movie_id=62480,2026-08-12 09:20:14,2026-08-12,62480,"액션,스릴러,SF",15세이상관람가,156분,나홍진,6.83,한국
5,미니언즈 & 몬스터즈,6.50,21443, 765597, 2026-07-15,/movie/info/?movie_id=63032,2026-08-12 09:20:14,2026-08-12,63032,애니메이션,전체관람가,89분,피에르코팽,6.50,미국
6,다윗,5.00,19424, 290330, 2026-07-10,/movie/info/?movie_id=63108,2026-08-12 09:20:14,2026-08-12,63108,애니메이션,전체관람가,109분,필커닝햄,5.00,미국
7,어떻게 해야 했을까?,6.50,17765, 52030, 2026-07-29,/movie/info/?movie_id=63282,2026-08-12 09:20:14,2026-08-12,63282,다큐멘터리,12세이상관람가,101분,후지노토모아키,6.50,일본
8,토이 스토리 5,6.83,10163, 2940102, 2026-06-17,/movie/info/?movie_id=62799,2026-08-12 09:20:14,2026-08-12,62799,애니메이션,전체관람가,101분,앤드류스탠튼,6.83,미국
9,명탐정 코난: 하이웨이의 타천사,,8828, 8828,,javascript:;,2026-08-12 09:20:14,2026-08-12,,,,,,,
10,오케이 마담2,5.00,8420, 11827, 2026-08-12,/movie/info/?movie_id=63240,2026-08-12 09:20:14,2026-08-12,63240,코미디,15세이상관람가,108분,이철하,5.00,한국
